epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3647820055484772,9.999999747378752e-05,2.0802865028381348,0.2779291570186615,3.1799094676971436
1,0.4257493317127228,9.999999747378752e-05,1.8155120611190796,0.36648499965667725,2.3046813011169434
2,0.46355587244033813,9.999999747378752e-05,1.642566442489624,0.3433242440223694,2.862811326980591
3,0.4904632270336151,9.999999747378752e-05,1.5678260326385498,0.3923705816268921,2.722445487976074
4,0.5088555812835693,9.999999747378752e-05,1.444566249847412,0.401907354593277,2.5004701614379883
5,0.5211171507835388,9.999999747378752e-05,1.3970401287078857,0.42643052339553833,2.2034804821014404
6,0.5504087209701538,9.999999747378752e-05,1.2931115627288818,0.46049046516418457,1.9568716287612915
7,0.5793596506118774,9.999999747378752e-05,1.208329677581787,0.4346049129962921,2.0954813957214355
8,0.5929836630821228,9.999999747378752e-05,1.1398199796676636,0.43051770329475403,2.0493288040161133
9,0.6222752332687378,9.999999747378752e-05,1.0771199464797974,0.5,1.5297907590866089
10,0.6331743597984314,9.999999747378752e-05,1.0248262882232666,0.5122615694999695,1.6924729347229004
11,0.6450953483581543,9.999999747378752e-05,0.9494357705116272,0.5136239528656006,1.948688268661499
12,0.682901918888092,9.999999747378752e-05,0.8663458228111267,0.5258855819702148,1.837576150894165
13,0.7064032554626465,9.999999747378752e-05,0.8213306665420532,0.5776566863059998,1.4343955516815186
14,0.7203678488731384,9.999999747378752e-05,0.7409646511077881,0.5367847681045532,1.730867862701416
15,0.7551090121269226,9.999999747378752e-05,0.648940920829773,0.5790190696716309,1.6981760263442993
16,0.7775885462760925,9.999999747378752e-05,0.5921180844306946,0.5817438960075378,1.7962325811386108
17,0.8194822669029236,9.999999747378752e-05,0.4883019030094147,0.6321526169776917,1.533151388168335
18,0.8341280817985535,9.999999747378752e-05,0.4432407021522522,0.5858310461044312,1.8537373542785645
